screen_parameter,nominal_value,scale,applied_value,trials,ground_impacts,ground_impact_percent,median_time_to_impact_s,p10_time_to_impact_s,p90_time_to_impact_s
firmware.thrust_ki,0.25,-1.0,-0.25,16,16,100.0,7.38,6.720000000000001,7.96
firmware.thrust_ki,0.25,-0.5,-0.125,16,16,100.0,9.46,8.61,11.48
firmware.thrust_ki,0.25,-0.25,-0.0625,16,16,100.0,14.1,12.15,21.5
firmware.thrust_ki,0.25,0.0,0.0,16,3,18.75,50.2,36.472,50.312000000000005
firmware.thrust_ki,0.25,0.1,0.025,16,0,0.0,,,
firmware.thrust_ki,0.25,0.25,0.0625,16,0,0.0,,,
firmware.thrust_ki,0.25,0.5,0.125,16,0,0.0,,,
firmware.thrust_ki,0.25,1.0,0.25,16,0,0.0,,,
firmware.trim_thrust,0.1,-1.0,-0.1,16,12,75.0,7.0,6.582,7.716
firmware.trim_thrust,0.1,-0.5,-0.05,16,0,0.0,,,
firmware.trim_thrust,0.1,0.0,0.0,16,0,0.0,,,
firmware.trim_thrust,0.1,0.25,0.025,16,0,0.0,,,
firmware.trim_thrust,0.1,0.5,0.05,16,0,0.0,,,
firmware.trim_thrust,0.1,1.0,0.1,16,0,0.0,,,
receiver.attitude_kp,5.0,-1.0,-5.0,16,16,100.0,1.47,1.45,1.48
receiver.attitude_kp,5.0,-0.5,-2.5,16,16,100.0,1.68,1.6500000000000001,1.7
receiver.attitude_kp,5.0,-0.25,-1.25,16,16,100.0,2.02,1.96,2.05
receiver.attitude_kp,5.0,0.0,0.0,16,0,0.0,,,
receiver.attitude_kp,5.0,0.25,1.25,16,0,0.0,,,
receiver.attitude_kp,5.0,1.0,5.0,16,0,0.0,,,
receiver.rate_kp[1],0.55,-1.0,-0.55,16,16,100.0,1.28,1.28,1.3
receiver.rate_kp[1],0.55,-0.5,-0.275,16,16,100.0,1.58,1.55,1.61
receiver.rate_kp[1],0.55,-0.25,-0.1375,16,15,93.75,2.3000000000000003,2.188,2.512
receiver.rate_kp[1],0.55,0.0,0.0,16,9,56.25,6.7,6.548,6.896
receiver.rate_kp[1],0.55,0.25,0.1375,16,0,0.0,,,
receiver.rate_kp[1],0.55,1.0,0.55,16,0,0.0,,,
receiver.rate_ki[1],0.4,0.0,0.0,16,0,0.0,,,
receiver.rate_ki[1],0.4,1.0,0.4,16,0,0.0,,,
receiver.rate_ki[1],0.4,2.0,0.8,16,0,0.0,,,
receiver.rate_ki[1],0.4,4.0,1.6,16,0,0.0,,,
receiver.rate_ki[1],0.4,6.0,2.4000000000000004,16,15,93.75,32.72,31.852,37.544
receiver.rate_ki[1],0.4,8.0,3.2,16,16,100.0,32.66,31.740000000000002,40.18
receiver.rate_ki[1],0.4,10.0,4.0,16,16,100.0,32.83,31.84,40.09
airframe.max_elevator,0.4188790204786391,0.05,0.020943951023931956,16,16,100.0,2.3,2.21,2.4
airframe.max_elevator,0.4188790204786391,0.1,0.04188790204786391,16,16,100.0,2.51,2.3899999999999997,2.7300000000000004
airframe.max_elevator,0.4188790204786391,0.15,0.06283185307179587,16,12,75.0,2.82,2.6220000000000003,17.116
airframe.max_elevator,0.4188790204786391,0.25,0.10471975511965978,16,0,0.0,,,
airframe.max_elevator,0.4188790204786391,0.5,0.20943951023931956,16,0,0.0,,,
airframe.max_elevator,0.4188790204786391,1.0,0.4188790204786391,16,0,0.0,,,
