screen_parameter,component,nominal_value,scale,applied_value,trials,hard_failures,hard_failure_percent,median_time_to_failure_s
firmware.speed_gain,firmware,1.0,-1.0,-1.0,8,0,0.0,
firmware.speed_gain,firmware,1.0,0.0,0.0,8,0,0.0,
firmware.speed_gain,firmware,1.0,0.25,0.25,8,0,0.0,
firmware.speed_gain,firmware,1.0,1.0,1.0,8,0,0.0,
firmware.speed_gain,firmware,1.0,4.0,4.0,8,0,0.0,
firmware.speed_gain,firmware,1.0,10.0,10.0,8,0,0.0,
firmware.thrust_kp,firmware,0.01,-1.0,-0.01,8,0,0.0,
firmware.thrust_kp,firmware,0.01,0.0,0.0,8,0,0.0,
firmware.thrust_kp,firmware,0.01,0.25,0.0025,8,0,0.0,
firmware.thrust_kp,firmware,0.01,1.0,0.01,8,0,0.0,
firmware.thrust_kp,firmware,0.01,4.0,0.04,8,0,0.0,
firmware.thrust_kp,firmware,0.01,10.0,0.1,8,0,0.0,
firmware.thrust_ki,firmware,0.25,-1.0,-0.25,8,8,100.0,7.7
firmware.thrust_ki,firmware,0.25,0.0,0.0,8,1,12.5,32.94
firmware.thrust_ki,firmware,0.25,0.25,0.0625,8,0,0.0,
firmware.thrust_ki,firmware,0.25,1.0,0.25,8,0,0.0,
firmware.thrust_ki,firmware,0.25,4.0,1.0,8,0,0.0,
firmware.thrust_ki,firmware,0.25,10.0,2.5,8,0,0.0,
firmware.pitch_kp,firmware,0.075,-1.0,-0.075,8,0,0.0,
firmware.pitch_kp,firmware,0.075,0.0,0.0,8,0,0.0,
firmware.pitch_kp,firmware,0.075,0.25,0.01875,8,0,0.0,
firmware.pitch_kp,firmware,0.075,1.0,0.075,8,0,0.0,
firmware.pitch_kp,firmware,0.075,4.0,0.3,8,0,0.0,
firmware.pitch_kp,firmware,0.075,10.0,0.75,8,0,0.0,
firmware.pitch_ki,firmware,0.216,-1.0,-0.216,8,0,0.0,
firmware.pitch_ki,firmware,0.216,0.0,0.0,8,0,0.0,
firmware.pitch_ki,firmware,0.216,0.25,0.054,8,0,0.0,
firmware.pitch_ki,firmware,0.216,1.0,0.216,8,0,0.0,
firmware.pitch_ki,firmware,0.216,4.0,0.864,8,0,0.0,
firmware.pitch_ki,firmware,0.216,10.0,2.16,8,0,0.0,
firmware.tecs_mass,firmware,0.063,0.1,0.0063,8,0,0.0,
firmware.tecs_mass,firmware,0.063,0.25,0.01575,8,0,0.0,
firmware.tecs_mass,firmware,0.063,0.5,0.0315,8,0,0.0,
firmware.tecs_mass,firmware,0.063,1.0,0.063,8,0,0.0,
firmware.tecs_mass,firmware,0.063,1.5,0.0945,8,0,0.0,
firmware.tecs_mass,firmware,0.063,2.0,0.126,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,0.1,0.03,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,0.25,0.075,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,0.5,0.15,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,1.0,0.3,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,1.5,0.44999999999999996,8,0,0.0,
firmware.tecs_thrust_max,firmware,0.3,2.0,0.6,8,0,0.0,
firmware.trim_thrust,firmware,0.1,-1.0,-0.1,8,6,75.0,7.609999999999999
firmware.trim_thrust,firmware,0.1,0.0,0.0,8,0,0.0,
firmware.trim_thrust,firmware,0.1,0.25,0.025,8,0,0.0,
firmware.trim_thrust,firmware,0.1,1.0,0.1,8,0,0.0,
firmware.trim_thrust,firmware,0.1,4.0,0.4,8,0,0.0,
firmware.trim_thrust,firmware,0.1,10.0,1.0,8,0,0.0,
firmware.pitch_limit,firmware,0.20943951023931956,0.1,0.020943951023931956,8,0,0.0,
