random_seed,requested_duration_s,campaign,boundary_label,altitude_gain_scale,protection_low_m_s,dive_slope,physical_mass_scale,actual_thrust_scale,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70836529410774,7.512069248843076,7.327077628507221,0.0,0.49073064340239914,0.0,0.0,2.0,0,60.0,15,3.75,0,2.992693826072837,0.6521273061301511,2.832738574808531,4.785352499324276,1.8786516176962564,0.33412121015558954,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.11772207675076,7.561908815592438,7.457820963810438,0.0,0.49036713922210107,0.0,0.0,2.0,1,60.0,15,3.75,0,3.0630109605929,0.6325116602328782,2.914602931348454,4.865186839839296,1.891366211195526,0.2941536383787921,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.13342979488063,7.306822421939993,7.227185803919795,0.0,0.4870956015994184,0.0,0.0,2.0,2,60.0,15,3.75,0,3.072264492021997,0.6746148871044491,2.9369638617214053,4.894349540471651,1.8639609408666358,0.3358508163102784,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70025231785578,6.819190090896148,7.378783238402193,0.0,0.4910941475826972,0.0,0.0,2.0,3,60.0,15,3.75,0,2.983449693019314,0.648200337833592,2.8276880599258036,4.782046650895439,1.89066032407743,0.32829899228528053,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.04733921532626,8.571288100972431,7.314989786386623,0.0,0.4881861141403126,0.0,0.0,2.0,4,60.0,15,3.75,0,3.055175119685807,0.6521424001828355,2.9165746906427934,4.8724716215588035,1.8810208676729783,0.3263647399462348,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.26056216279085,7.61930408570112,7.328066415680208,0.0,0.49036713922210107,0.0,0.0,2.0,5,60.0,15,3.75,0,2.8980811763998586,0.6242550639594332,2.7320352778245716,4.687095402507774,1.9148571839398325,0.3227103412830407,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.15402268157665,7.4153448598884655,7.337310080377133,0.0,0.4881861141403126,0.0,0.0,2.0,6,60.0,15,3.75,0,3.0694472392487357,0.662541609077544,2.9336628194346646,4.887808368041619,1.8671040570863475,0.3290796298889607,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.21984353355349,9.162409928830902,7.284086057256928,0.0,0.48782260996001453,0.0,0.0,2.0,7,60.0,15,3.75,0,3.076448534070984,0.6679484926144487,2.957410001268504,4.909255377360754,1.8479968366673378,0.34092917300180337,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.41030287423147,7.566222542379077,7.352090997894957,0.0,0.4921846601235914,0.0,0.0,2.0,8,60.0,15,3.75,0,2.9260557797787237,0.6345789927324955,2.764517350050456,4.717667659441621,1.8992955636263964,0.32919508022895,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.49433170158671,7.27396842508114,7.386821648500685,0.0,0.49036713922210107,0.0,0.0,2.0,9,60.0,15,3.75,0,2.9416470224441618,0.6263049470710533,2.779891705893847,4.732790142424246,1.9084006196030148,0.3143776959470241,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
